The Puttick Scholarship for Virtual Production and Immersive Media,"The Puttick Scholarship for Virtual Production and Immersive Media is named in honour of John and Gerri Puttick, whose generous philanthropic support enables digital dividends supporting the objectives of the QUT School of Creativ...",https://www.scholarshipportal.com/scholarship/the-puttick-scholarship-for-virtual-production-and-immersive-media,Phd,"$7,500 per annum for two years",31-Oct-22,NA
Macquarie University Alumni Scholarship,This scholarship is awarded to all eligble Macquarie University alumni international students for postgraduate studies. ...,https://www.scholarshipportal.com/scholarship/macquarie-university-alumni-scholarship,"Master, , Phd",10% of total tuition fees,NA,NA
Indian Arts Partner Scholarship,"The Indian Partner Arts Scholarship is awarded to recognise academic excellence for Indian students from Lady Shri Ram College for Women, New Delhi, St. Xavier's College (Autonomous), Kolkata, The Tata Institute of Social Sciences...",https://www.scholarshipportal.com/scholarship/indian-arts-partner-scholarship,"Master, , Phd",50% in tuition fee,NA,NA
International Chancellor's Scholarship for Camden County College,Receive a scholarship when you transfer from Camden County College to Rutgers University–Camden as an international student. ...,https://www.scholarshipportal.com/scholarship/international-chancellors-scholarship-for-camden-county-college,Bachelor,"Up to $12,000 per year",NA,NA
Vice-Chancellor's International Scholarship,The Vice-Chancellor’s International Scholarship (VCIS) is awarded to recognize academic excellence for international students. ...,https://www.scholarshipportal.com/scholarship/vice-chancellors-international-scholarship,"Bachelor, , Master","AUD $10,000 in tuition fees",NA,NA
African Women in STEM Scholarship,"Macquarie University Vice-Chancellor's International Scholarship - African Women in STEM is a Partial Scholarship to support studies in the area of Science, Technology, Engineering, and Mathematics. ...",https://www.scholarshipportal.com/scholarship/african-women-in-stem-scholarship,"Bachelor, , Master",50% of the total tuition fee,NA,NA
Macquarie University College Scholarship,"Macquarie University will provide a $3,000 once off scholarship towards your tuition fees for your study at the Macquarie University International College. ...",https://www.scholarshipportal.com/scholarship/macquarie-university-college-scholarship,Bachelor,"$3,000 in tuition fees",NA,NA
Sponsored Student Grant,"The Macquarie University Sponsored Student Grant is awarded to future international students, on a fully-funded external scholarship by Asian scholarship bodies. ...",https://www.scholarshipportal.com/scholarship/sponsored-student-grant,"Bachelor, , Master, , Phd","AUD $5,000",NA,NA
ASEAN Partner Institution Scholarship,"To recognize the strong relationship between Macquarie University and institutions in the ASEAN region, this ASEAN Partner Scholarship is awarded to prospective students from the region with a quest for knowledge. ...",https://www.scholarshipportal.com/scholarship/asean-partner-institution-scholarship,Bachelor,"$15,000 per year",NA,NA
"Macquarie University $5,000 Regional Scholarship",This scholarship is awarded to talented international students from eligible regions who intends to pursue a coursework degree at Macquarie University offsetting almost a third of their annual tuition fees. ...,https://www.scholarshipportal.com/scholarship/macquarie-university-dollar5000-regional-scholarship,"Bachelor, , Master, , Phd","AUD $5,000 per year",NA,NA
"South Asia $10,000 Early Acceptance Scholarship",This early acceptance scholarship is awarded to talented and dexterous international students from the South Asian region who intends to pursue a coursework degree at Macquarie University offsetting almost a third of their annual ...,https://www.scholarshipportal.com/scholarship/south-asia-dollar10000-early-acceptance-scholarship,"Bachelor, , Master, , Phd","AUD $10,000 per year",NA,NA
"ASEAN $10,000 Early Acceptance Scholarship",This scholarship is awarded to all eligible students from ASEAN countries. ...,https://www.scholarshipportal.com/scholarship/asean-dollar10000-early-acceptance-scholarship,"Bachelor, , Master, , Phd","AUD $10,000 per year",NA,NA
Western Golf Association Evans Foundation Scholarship,"Western Golf Association Evans Foundation Scholarship is available to all undergraduate students who demonstrated an excellent academic achievement, and were nominated by Western Golf Association Clubs. ...",https://www.scholarshipportal.com/scholarship/western-golf-association-evans-foundation-scholarship,Bachelor,"An annual award for full-tuition, mandatory fees",NA,NA
Stinson Scholars Program at Notre Dame,"Stinson Scholars Program at Notre Dame is available to all undergraduate students who demonstrated an excellent academic achievement, and are majoring in the College of Engineering. ...",https://www.scholarshipportal.com/scholarship/stinson-scholars-program-at-notre-dame,Bachelor,"$25,000 per year in tuition fees, up to four years",NA,NA
